Scenario,Nodes,Operations,Weights,DSU Time,Recalculation Time
Scenario 1,10,10,"(1, 1, 1, 1)",0.0000,0.0001
Scenario 2,10,10,"(5, 1, 1, 1)",0.0000,0.0003
Scenario 3,10,10,"(1, 5, 1, 1)",0.0000,0.0002
Scenario 4,10,10,"(1, 1, 5, 1)",0.0000,0.0002
Scenario 5,10,10,"(1, 1, 1, 5)",0.0000,0.0001
Scenario 1,10,50,"(1, 1, 1, 1)",0.0001,0.0034
Scenario 2,10,50,"(5, 1, 1, 1)",0.0001,0.0013
Scenario 3,10,50,"(1, 5, 1, 1)",0.0000,0.0006
Scenario 4,10,50,"(1, 1, 5, 1)",0.0001,0.0009
Scenario 5,10,50,"(1, 1, 1, 5)",0.0001,0.0007
Scenario 1,10,100,"(1, 1, 1, 1)",0.0001,0.0013
Scenario 2,10,100,"(5, 1, 1, 1)",0.0003,0.0025
Scenario 3,10,100,"(1, 5, 1, 1)",0.0003,0.0054
Scenario 4,10,100,"(1, 1, 5, 1)",0.0001,0.0017
Scenario 5,10,100,"(1, 1, 1, 5)",0.0002,0.0021
Scenario 1,10,200,"(1, 1, 1, 1)",0.0004,0.0365
Scenario 2,10,200,"(5, 1, 1, 1)",0.0004,0.0075
Scenario 3,10,200,"(1, 5, 1, 1)",0.0002,0.0050
Scenario 4,10,200,"(1, 1, 5, 1)",0.0003,0.0110
Scenario 5,10,200,"(1, 1, 1, 5)",0.0004,0.0060
Scenario 1,10,300,"(1, 1, 1, 1)",0.0007,0.0146
Scenario 2,10,300,"(5, 1, 1, 1)",0.0005,0.0152
Scenario 3,10,300,"(1, 5, 1, 1)",0.0004,0.0087
Scenario 4,10,300,"(1, 1, 5, 1)",0.0004,0.0052
Scenario 5,10,300,"(1, 1, 1, 5)",0.0030,0.0109
Scenario 1,10,400,"(1, 1, 1, 1)",0.0007,0.0143
Scenario 2,10,400,"(5, 1, 1, 1)",0.0010,0.0262
Scenario 3,10,400,"(1, 5, 1, 1)",0.0007,0.0142
Scenario 4,10,400,"(1, 1, 5, 1)",0.0009,0.0121
Scenario 5,10,400,"(1, 1, 1, 5)",0.0005,0.0052
Scenario 1,10,500,"(1, 1, 1, 1)",0.0005,0.0090
Scenario 2,10,500,"(5, 1, 1, 1)",0.0004,0.0102
Scenario 3,10,500,"(1, 5, 1, 1)",0.0004,0.0056
Scenario 4,10,500,"(1, 1, 5, 1)",0.0004,0.0065
Scenario 5,10,500,"(1, 1, 1, 5)",0.0006,0.0061
Scenario 1,10,600,"(1, 1, 1, 1)",0.0005,0.0097
Scenario 2,10,600,"(5, 1, 1, 1)",0.0004,0.0123
Scenario 3,10,600,"(1, 5, 1, 1)",0.0004,0.0070
Scenario 4,10,600,"(1, 1, 5, 1)",0.0004,0.0082
Scenario 5,10,600,"(1, 1, 1, 5)",0.0007,0.0078
Scenario 1,10,700,"(1, 1, 1, 1)",0.0008,0.0135
Scenario 2,10,700,"(5, 1, 1, 1)",0.0007,0.0164
Scenario 3,10,700,"(1, 5, 1, 1)",0.0008,0.0142
Scenario 4,10,700,"(1, 1, 5, 1)",0.0009,0.0153
Scenario 5,10,700,"(1, 1, 1, 5)",0.0008,0.0097
Scenario 1,10,800,"(1, 1, 1, 1)",0.0007,0.0131
Scenario 2,10,800,"(5, 1, 1, 1)",0.0006,0.0166
Scenario 3,10,800,"(1, 5, 1, 1)",0.0005,0.0089
Scenario 4,10,800,"(1, 1, 5, 1)",0.0007,0.0124
Scenario 5,10,800,"(1, 1, 1, 5)",0.0010,0.0124
Scenario 1,10,900,"(1, 1, 1, 1)",0.0008,0.0157
Scenario 2,10,900,"(5, 1, 1, 1)",0.0008,0.0196
Scenario 3,10,900,"(1, 5, 1, 1)",0.0007,0.0115
Scenario 4,10,900,"(1, 1, 5, 1)",0.0006,0.0131
Scenario 5,10,900,"(1, 1, 1, 5)",0.0010,0.0124
Scenario 1,10,1000,"(1, 1, 1, 1)",0.0009,0.0167
